Feature Scenario,Testcase Title,TestcaseId,Testcase Precondition,Testcase steps,Expected Result
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_230,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_231,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_232,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_233,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_234,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_235,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_236,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_237,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_238,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_239,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_240,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_241,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_242,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_243,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_244,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_245,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_246,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_247,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_248,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_249,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_250,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_251,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_252,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_253,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_254,same as above,,
